#A	0.001 T/s
-1.3300	-1.0656
-1.3295	-1.0007
-1.3291	-1.0012
-1.3287	-1.0023
-1.3283	-1.0016
-1.3278	-1.0030
-1.3274	-1.0037
-1.3270	-1.0047
-1.3265	-1.0031
-1.3261	-1.0035
-1.3257	-1.0064
-1.3253	-1.0055
-1.3248	-1.0060
-1.3244	-1.0043
-1.3240	-1.0072
-1.3236	-1.0054
-1.3231	-1.0071
-1.3227	-1.0066
-1.3223	-1.0063
-1.3219	-1.0078
-1.3214	-1.0089
-1.3210	-1.0079
-1.3206	-1.0093
-1.3202	-1.0086
-1.3197	-1.0104
-1.3193	-1.0086
-1.3189	-1.0107
-1.3184	-1.0108
-1.3180	-1.0121
-1.3176	-1.0109
-1.3172	-1.0134
-1.3167	-1.0120
-1.3163	-1.0136
-1.3159	-0.99677
-1.3155	-0.99845
-1.3150	-0.99831
-1.3146	-0.99811
-1.3142	-0.99852
-1.3138	-0.99861
-1.3133	-1.0012
-1.3129	-0.99931
-1.3125	-1.0002
-1.3121	-1.0006
-1.3116	-1.0008
-1.3112	-1.0009
-1.3108	-1.0008
-1.3104	-1.0026
-1.3099	-1.0031
-1.3095	-1.0040
-1.3091	-1.0034
-1.3086	-1.0040
-1.3082	-1.0040
-1.3078	-1.0066
-1.3074	-1.0072
-1.3069	-1.0067
-1.3065	-1.0078
-1.3061	-1.0073
-1.3057	-1.0090
-1.3052	-1.0081
-1.3048	-1.0083
-1.3044	-1.0081
-1.3040	-1.0079
-1.3035	-1.0101
-1.3031	-1.0092
-1.3027	-1.0115
-1.3023	-1.0111
-1.3018	-0.99794
-1.3014	-0.99644
-1.3010	-0.99359
-1.3006	-0.99541
-1.3001	-0.99767
-1.2997	-0.99810
-1.2993	-0.99799
-1.2989	-0.99952
-1.2984	-1.0002
-1.2980	-0.99998
-1.2976	-0.99964
-1.2971	-1.0011
-1.2967	-1.0016
-1.2963	-1.0024
-1.2959	-1.0019
-1.2954	-1.0046
-1.2950	-1.0018
-1.2946	-1.0037
-1.2942	-1.0033
-1.2937	-1.0045
-1.2933	-1.0043
-1.2929	-1.0042
-1.2925	-1.0059
-1.2920	-1.0067
-1.2916	-1.0056
-1.2912	-1.0062
-1.2908	-1.0075
-1.2903	-1.0080
-1.2899	-1.0079
-1.2895	-1.0091
-1.2890	-1.0075
-1.2886	-1.0091
-1.2882	-1.0093
-1.2878	-0.99523
-1.2873	-0.99575
-1.2869	-0.99679
-1.2865	-0.99691
-1.2861	-0.99681
-1.2856	-0.99811
-1.2852	-0.99660
-1.2848	-0.99963
-1.2844	-0.99861
-1.2839	-0.99841
-1.2835	-0.99975
-1.2831	-0.99968
-1.2827	-1.0004
-1.2822	-1.0006
-1.2818	-1.0032
-1.2814	-1.0013
-1.2810	-1.0023
-1.2805	-1.0028
-1.2801	-1.0024
-1.2797	-1.0021
-1.2792	-1.0043
-1.2788	-1.0035
-1.2784	-1.0040
-1.2780	-1.0045
-1.2775	-1.0037
-1.2771	-1.0056
-1.2767	-1.0055
-1.2763	-1.0064
-1.2758	-1.0065
-1.2754	-1.0077
-1.2750	-1.0079
-1.2746	-1.0078
-1.2741	-1.0092
-1.2737	-0.99258
-1.2733	-0.99284
-1.2729	-0.99451
-1.2724	-0.99415
-1.2720	-0.99449
-1.2716	-0.99381
-1.2712	-0.99470
-1.2707	-0.99544
-1.2703	-0.99394
-1.2699	-0.99656
-1.2695	-0.99716
-1.2690	-0.99759
-1.2686	-0.99679
-1.2682	-0.99773
-1.2677	-0.99744
-1.2673	-0.99781
-1.2669	-0.99948
-1.2665	-1.0003
-1.2660	-0.99900
-1.2656	-0.99980
-1.2652	-1.0014
-1.2648	-1.0014
-1.2643	-1.0005
-1.2639	-1.0033
-1.2635	-1.0032
-1.2631	-1.0026
-1.2626	-1.0019
-1.2622	-1.0033
-1.2618	-1.0040
-1.2614	-1.0031
-1.2609	-1.0058
-1.2605	-1.0035
-1.2601	-1.0059
-1.2597	-0.99136
-1.2592	-0.99076
-1.2588	-0.99024
-1.2584	-0.99252
-1.2579	-0.99272
-1.2575	-0.99144
-1.2571	-0.99374
-1.2567	-0.99216
-1.2562	-0.99297
-1.2558	-0.99338
-1.2554	-0.99426
-1.2550	-0.99527
-1.2545	-0.99675
-1.2541	-0.99573
-1.2537	-0.99614
-1.2533	-0.99619
-1.2528	-0.99846
-1.2524	-0.99858
-1.2520	-0.99855
-1.2516	-0.99912
-1.2511	-0.99928
-1.2507	-1.0004
-1.2503	-1.0005
-1.2499	-1.0005
-1.2494	-1.0015
-1.2490	-1.0026
-1.2486	-1.0020
-1.2481	-1.0040
-1.2477	-1.0029
-1.2473	-1.0045
-1.2469	-1.0039
-1.2464	-1.0048
-1.2460	-1.0058
-1.2456	-0.99016
-1.2452	-0.99262
-1.2447	-0.99096
-1.2443	-0.99175
-1.2439	-0.99173
-1.2435	-0.99265
-1.2430	-0.99314
-1.2426	-0.99396
-1.2422	-0.99412
-1.2418	-0.99516
-1.2413	-0.99567
-1.2409	-0.99577
-1.2405	-0.99639
-1.2401	-0.99672
-1.2396	-0.99602
-1.2392	-0.99799
-1.2388	-0.99913
-1.2383	-0.99924
-1.2379	-0.99838
-1.2375	-0.99826
-1.2371	-0.99874
-1.2366	-1.0008
-1.2362	-1.0006
-1.2358	-1.0006
-1.2354	-1.0015
-1.2349	-1.0009
-1.2345	-1.0019
-1.2341	-1.0030
-1.2337	-1.0024
-1.2332	-1.0046
-1.2328	-1.0041
-1.2324	-1.0045
-1.2320	-0.99339
-1.2315	-0.98856
-1.2311	-0.98943
